,Buy,Sell,Hols,Firsts,Fridays
189,2005-04-30,2005-05-03,0,1,0
190,2005-05-31,2005-06-03,0,1,0
191,2005-06-30,2005-07-03,0,1,0
192,2005-07-31,2005-08-03,0,1,0
193,2005-08-31,2005-09-03,0,1,0
194,2005-09-30,2005-10-03,0,1,1
195,2005-10-31,2005-11-03,0,1,0
196,2005-11-30,2005-12-03,0,1,0
197,2005-12-31,2006-01-03,0,1,0
198,2006-01-31,2006-02-03,0,1,0
199,2006-02-28,2006-03-03,0,1,0
200,2006-03-31,2006-04-03,0,1,1
201,2006-05-31,2006-06-03,0,1,0
202,2006-06-30,2006-07-03,0,1,1
203,2006-07-31,2006-08-03,0,1,0
204,2006-08-31,2006-09-03,0,1,0
205,2006-09-30,2006-10-03,0,1,0
206,2006-10-31,2006-11-03,0,1,0
207,2006-11-30,2006-12-03,0,1,0
208,2007-01-31,2007-02-03,0,1,0
209,2007-02-28,2007-03-03,0,1,0
210,2007-03-31,2007-04-03,0,1,0
211,2007-05-31,2007-06-03,0,1,0
212,2007-06-30,2007-07-03,0,1,0
213,2007-07-31,2007-08-03,0,1,0
214,2007-08-31,2007-09-03,0,1,1
215,2007-09-30,2007-10-03,0,1,0
216,2007-10-31,2007-11-03,0,1,0
217,2007-11-30,2007-12-03,0,1,1
218,2008-01-31,2008-02-03,0,1,0
219,2008-02-29,2008-03-03,0,1,1
220,2008-03-31,2008-04-03,0,1,0
221,2008-05-31,2008-06-03,0,1,0
222,2008-06-30,2008-07-03,0,1,0
223,2008-07-31,2008-08-03,0,1,0
224,2008-08-31,2008-09-03,0,1,0
225,2008-09-30,2008-10-03,0,1,0
226,2008-10-31,2008-11-03,0,1,1
227,2008-11-30,2008-12-03,0,1,0
228,2009-01-31,2009-02-03,0,1,0
229,2009-02-28,2009-03-03,0,1,0
230,2009-03-31,2009-04-03,0,1,0
231,2009-05-31,2009-06-03,0,1,0
232,2009-06-30,2009-07-03,0,1,0
233,2009-07-31,2009-08-03,0,1,1
234,2009-08-31,2009-09-03,0,1,0
235,2009-09-30,2009-10-03,0,1,0
236,2009-10-31,2009-11-03,0,1,0
237,2009-11-30,2009-12-03,0,1,0
238,2010-01-31,2010-02-03,0,1,0
239,2010-02-28,2010-03-03,0,1,0
240,2010-03-31,2010-04-03,0,1,0
241,2010-04-30,2010-05-03,0,1,1
242,2010-05-31,2010-06-03,0,1,0
243,2010-06-30,2010-07-03,0,1,0
244,2010-07-31,2010-08-03,0,1,0
245,2010-08-31,2010-09-03,0,1,0
246,2010-09-30,2010-10-03,0,1,0
247,2010-10-31,2010-11-03,0,1,0
248,2010-11-30,2010-12-03,0,1,0
249,2010-12-31,2011-01-03,0,1,1
250,2011-01-31,2011-02-03,0,1,0
251,2011-02-28,2011-03-03,0,1,0
252,2011-03-31,2011-04-03,0,1,0
